rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec
1,4,1,1,3,6.11421,2.09053e-05,0.221839,102.342,1609560056,1714380856,1053377,1121977,1.0107,1.0107,121,121,22.0212,233680,ns3::ThompsonSamplingWifiManager,3,0,64,128
1,1,1,1,3,62.8544,0.0003649,1.79316,40.497,636816920,1714380856,416765,1121977,1.01886,1.01886,120.991,120.991,152.077,747327,ns3::ThompsonSamplingWifiManager,3,0,64,256
1,2,1,1,3,64.0679,0.00038346,1.8356,39.1759,616013200,1714380856,403150,1121977,1.03318,1.03318,121,121,154.592,740022,ns3::ThompsonSamplingWifiManager,3,0,64,256
1,3,1,1,3,2.25219,1.20135e-05,0.0739237,106.55,1675769824,1714380856,1096708,1121977,1.00823,1.00823,121,121,13.1753,81072.7,ns3::ThompsonSamplingWifiManager,3,0,64,256
1,4,1,1,3,64.2433,0.000387395,1.84355,38.9893,613006096,1714380856,401182,1121977,1.04742,1.04742,121,121,155.415,739600,ns3::ThompsonSamplingWifiManager,3,0,64,256
1,1,1,1,3,35.8823,0.000124761,1.27254,69.9084,1099221808,1714380856,719386,1121977,1.03221,1.03221,120.995,120.995,89.7513,915444,ns3::ThompsonSamplingWifiManager,3,0,128,16
1,2,1,1,3,60.1647,0.000290291,1.47632,43.4237,682928904,1714380856,446943,1121977,1.01173,1.01173,121,121,129.743,659833,ns3::ThompsonSamplingWifiManager,3,0,128,16
1,3,1,1,3,16.243,4.377e-05,0.916518,91.3016,1435913552,1714380856,939734,1121977,1.01135,1.01135,121,121,41.1321,861283,ns3::ThompsonSamplingWifiManager,3,0,128,16
1,4,1,1,3,4.65313,1.77968e-05,0.145355,103.935,1634608560,1714380856,1069770,1121977,1.01097,1.01097,121,121,19.0385,155496,ns3::ThompsonSamplingWifiManager,3,0,128,16
1,1,1,1,3,33.5691,0.000113214,1.24579,72.4255,1138877992,1714380856,745339,1121977,1.02882,1.02882,121,121,84.3829,928537,ns3::ThompsonSamplingWifiManager,3,0,128,32
1,2,1,1,3,60.2244,0.000296831,1.50319,43.3601,681905144,1714380856,446273,1121977,1.01121,1.01121,120.995,120.995,132.467,670833,ns3::ThompsonSamplingWifiManager,3,0,128,32
1,3,1,1,3,19.0221,5.14573e-05,0.944377,88.2749,1388268984,1714380856,908553,1121977,1.01501,1.01501,121,121,46.7517,858016,ns3::ThompsonSamplingWifiManager,3,0,128,32
1,4,1,1,3,4.4115,1.69373e-05,0.138258,104.202,1638750968,1714380856,1072481,1121977,1.01496,1.01496,121,121,18.1649,148279,ns3::ThompsonSamplingWifiManager,3,0,128,32
1,1,1,1,3,41.3271,0.000154825,1.34625,63.9706,1005876288,1714380856,658296,1121977,1.03351,1.03351,120.998,120.998,101.92,886230,ns3::ThompsonSamplingWifiManager,3,0,128,64
1,2,1,1,3,49.22,0.000176137,1.34967,55.3539,870562720,1714380856,569740,1121977,1.01078,1.01078,121,121,100.352,768958,ns3::ThompsonSamplingWifiManager,3,0,128,64
1,3,1,1,3,14.418,3.81648e-05,0.780892,93.2931,1467200880,1714380856,960210,1121977,1.0141,1.0141,121,121,36.6462,749821,ns3::ThompsonSamplingWifiManager,3,0,128,64
1,4,1,1,3,4.96044,1.81688e-05,0.164031,103.609,1629340016,1714380856,1066322,1121977,1.02125,1.02125,121,121,19.3738,174910,ns3::ThompsonSamplingWifiManager,3,0,128,64
1,1,1,1,3,49.5774,0.000213472,1.41417,54.9667,864435440,1714380856,565730,1121977,1.01611,1.01611,121,121,120.768,800038,ns3::ThompsonSamplingWifiManager,3,0,128,128
1,2,1,1,3,49.1875,0.000210043,1.42194,55.4092,871120440,1714380856,570105,1121977,1.04717,1.04717,120.993,120.993,119.746,810655,ns3::ThompsonSamplingWifiManager,3,0,128,128
1,3,1,1,3,2.25682,1.20236e-05,0.0735147,106.545,1675690368,1714380856,1096656,1121977,1.00812,1.00812,121,121,13.1858,80620.3,ns3::ThompsonSamplingWifiManager,3,0,128,128
1,4,1,1,3,6.1118,2.09257e-05,0.223747,102.345,1609601312,1714380856,1053404,1121977,1.01097,1.01097,121,121,22.0432,235696,ns3::ThompsonSamplingWifiManager,3,0,128,128
1,1,1,1,3,63.1517,0.00036926,1.80461,40.1708,631719512,1714380856,413429,1121977,1.0214,1.0214,121,121,152.662,746079,ns3::ThompsonSamplingWifiManager,3,0,128,256
1,2,1,1,3,64.1551,0.000385162,1.83989,39.0846,614518816,1714380856,402172,1121977,1.02855,1.02855,120.984,120.984,154.901,739953,ns3::ThompsonSamplingWifiManager,3,0,128,256
1,3,1,1,3,2.25014,1.20131e-05,0.0741605,106.553,1675804968,1714380856,1096731,1121977,1.0087,1.0087,121,121,13.1751,81334.1,ns3::ThompsonSamplingWifiManager,3,0,128,256
1,4,1,1,3,63.9214,0.000381332,1.83094,39.335,618525232,1714380856,404794,1121977,1.02826,1.02826,120.997,120.997,154.361,741155,ns3::ThompsonSamplingWifiManager,3,0,128,256
