rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,2,7,1,3,29.0321,0.00131342,0.572349,13.4315,201387344,283772520,131798,185715,1.01335,1.01335,120.963,120.963,173.105,75434.5
407456,3,7,1,3,26.5945,0.00130241,0.596734,13.8888,208304600,283772520,136325,185715,1.01133,1.01133,120.996,120.996,177.55,81349.8
407456,4,7,1,3,24.2388,0.0012867,0.567473,14.3507,214989600,283772520,140700,185715,1.07731,1.07731,120.926,120.926,181.037,79843.4
407456,5,7,1,3,28.3849,0.00131261,0.53878,13.5523,203224000,283772520,133000,185715,1.02063,1.02063,120.985,120.985,174.576,71657.8
407456,6,7,1,3,26.5482,0.00128433,0.564535,13.9222,208436008,283772520,136411,185715,1.13152,1.13152,120.904,120.904,175.195,77008.8
407456,7,7,1,3,24.2603,0.00127289,0.550255,14.3314,214928480,283772520,140660,185715,1.01569,1.01569,120.992,120.992,179.043,77398.8
407456,1,8,1,2,28.7495,0.00143704,0.474943,11.7984,176914896,248300000,115782,162500,1.03812,1.03812,120.997,120.997,166.382,54989.9
407456,2,8,1,2,30.0055,0.00143543,0.477892,11.5877,173796248,248300000,113741,162500,1.01359,1.01359,121,121,163.266,54355.9
407456,3,8,1,2,29.1846,0.00144828,0.476007,11.7256,175834600,248300000,115075,162500,1.01263,1.01263,120.978,120.978,166.66,54776.5
407456,4,8,1,2,31.672,0.00146341,0.492261,11.3174,169658424,248300000,111033,162500,1.02814,1.02814,120.956,120.956,162.485,54657.2
407456,5,8,1,2,28.9662,0.00143734,0.47345,11.7826,176377040,248300000,115430,162500,1.17992,1.17992,120.934,120.934,165.911,54650.3
407456,6,8,1,2,23.9791,0.0013936,0.453076,12.598,188759952,248300000,123534,162500,1.02969,1.02969,120.896,120.896,172.156,55970.3
407456,7,8,1,2,34.0966,0.00147611,0.516217,10.9147,163638104,248300000,107093,162500,1.01963,1.01963,120.96,120.96,158.08,55283.3
407456,8,8,1,2,29.7028,0.00145841,0.497401,11.6477,174548024,248300000,114233,162500,1.02258,1.02258,120.908,120.908,166.597,56819.6
407456,1,10,1,1,32.1246,0.00170147,0.411881,8.99309,134827664,198640000,88238,130000,1.06005,1.06005,120.999,120.999,150.133,36343.5
407456,2,10,1,1,34.2515,0.00169512,0.422965,8.71665,130602744,198640000,85473,130000,1.09278,1.09278,120.958,120.958,144.885,36152.1
407456,3,10,1,1,32.5577,0.00169244,0.414673,8.94102,133967400,198640000,87675,130000,1.04645,1.04645,120.914,120.914,148.383,36356.5
407456,4,10,1,1,34.1185,0.00169943,0.420996,8.73724,130867088,198640000,85646,130000,1.03653,1.03653,120.861,120.861,145.548,36056.6
407456,5,10,1,1,37.6208,0.00171955,0.440226,8.26949,123910104,198640000,81093,130000,1.12324,1.12324,120.995,120.995,139.442,35699.2
