rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,6,7,1,2,0.0317691,0.000827619,0.00269595,18.9144,283682368,283772520,185656,185715,1.0127,1.0127,120.999,120.999,153.652,500.519
407456,7,7,1,2,0.0484614,0.000821564,0.00579032,18.9163,283635000,283772520,185625,185715,1.04617,1.04617,121,121,152.502,1074.83
407456,1,6,1,3,0.097846,0.000450058,0.00353141,22.0534,330743240,331067176,216455,216667,1.0208,1.0208,121,121,97.4169,764.391
407456,2,6,1,3,0.0996922,0.000444898,0.00821189,22.0534,330737128,331067176,216451,216667,1.02271,1.02271,120.999,120.999,96.2981,1777.47
407456,3,6,1,3,0.0899999,0.000454568,0.00238207,22.054,330769216,331067176,216472,216667,1.01422,1.01422,121,121,98.4008,515.651
407456,4,6,1,3,0.0895383,0.000456855,0.00223577,22.0546,330770744,331067176,216473,216667,1.0172,1.0172,121,121,98.8964,483.984
407456,5,6,1,3,0.0973845,0.000458321,0.00223332,22.055,330744768,331067176,216456,216667,1.02814,1.02814,120.999,120.999,99.2058,483.416
407456,6,6,1,3,0.0996922,0.000460471,0.00220244,22.0566,330737128,331067176,216451,216667,1.03934,1.03934,120.999,120.999,99.6689,476.721
407456,1,9,1,1,1.35761,0.00147397,0.0526678,14.5219,217715552,220711960,142484,144445,1.03407,1.03407,120.972,120.972,210.015,7504.31
407456,2,9,1,1,1.33753,0.00147198,0.0514985,14.5212,217759864,220711960,142513,144445,1.02299,1.02299,120.991,120.991,209.774,7339.2
407456,3,9,1,1,1.34999,0.00147355,0.0522288,14.5231,217732360,220711960,142495,144445,1.06124,1.06124,120.998,120.998,209.972,7442.34
407456,4,9,1,1,1.34099,0.00147214,0.0515423,14.5207,217752224,220711960,142508,144445,1.01954,1.01954,120.987,120.987,209.791,7345.19
407456,5,9,1,1,2.17315,0.0014817,0.053322,14.5198,215915568,220711960,141306,144445,2.03151,2.03151,120.995,120.995,209.371,7534.72
407456,6,9,1,1,1.35415,0.00147394,0.0534243,14.5226,217723192,220711960,142489,144445,1.04364,1.04364,120.98,120.98,210.019,7612.37
407456,7,9,1,1,1.35484,0.00147394,0.0536138,14.5224,217721664,220711960,142488,144445,1.03854,1.03854,120.976,120.976,210.017,7639.32
407456,8,9,1,1,1.35207,0.00147294,0.0518936,14.5231,217727776,220711960,142492,144445,1.04878,1.04878,120.983,120.983,209.881,7394.42
407456,9,9,1,1,1.36592,0.00147209,0.0513684,14.5217,217697216,220711960,142472,144445,1.07035,1.07035,121,121,209.73,7318.56
407456,1,8,1,2,0.04,0.000967119,0.00296659,16.5533,248200680,248300000,162435,162500,1.04541,1.04541,120.998,120.998,157.093,481.878
407456,2,8,1,2,0.0289231,0.000960045,0.00336686,16.5505,248228184,248300000,162453,162500,1.01314,1.01314,120.999,120.999,155.961,546.956
407456,3,8,1,2,0.0338462,0.000963663,0.00303925,16.5519,248215960,248300000,162445,162500,1.02937,1.02937,120.999,120.999,156.541,493.712
407456,4,8,1,2,0.0369231,0.000958482,0.00455513,16.5518,248208320,248300000,162440,162500,1.03217,1.03217,120.999,120.999,155.695,739.936
