rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario
407456,2,1,21,2,42.1021,0.000195066,1.38154,61.9602,974397960,1682959064,637695,1101413,1.01844,1.01844,121,121,124.393,880998,ns3::ThompsonSamplingWifiManager,D
407456,1,1,23,1,72.4407,0.000555595,2.18826,29.9969,463812176,1682959064,303542,1101413,3.03341,3.03341,120.999,120.999,168.646,664230,ns3::ThompsonSamplingWifiManager,B
407456,2,1,23,1,72.3484,0.000560821,2.16094,29.5914,465364624,1682959064,304558,1101413,1.0175,1.0175,121,121,170.802,658133,ns3::ThompsonSamplingWifiManager,B
407456,1,1,21,3,35.6453,0.000125643,1.30393,68.8682,1083063208,1682959064,708811,1101413,1.01502,1.01502,121,121,89.057,924238,ns3::ThompsonSamplingWifiManager,E
407456,2,1,21,3,40.4798,0.000139324,1.36268,63.694,1001700264,1682959064,655563,1101413,1.01431,1.01431,121,121,91.3354,893325,ns3::ThompsonSamplingWifiManager,E
407456,1,1,25,1,72.4871,0.000597003,2.20041,29.5513,463031368,1682959064,303031,1101413,1.45695,1.45695,121,121,180.91,666793,ns3::ThompsonSamplingWifiManager,B
407456,2,1,25,1,73.0289,0.000608968,2.20466,28.8628,453912264,1682959064,297063,1101413,1.01358,1.01358,120.997,120.997,180.901,654923,ns3::ThompsonSamplingWifiManager,B
407456,1,1,23,2,25.6914,8.45142e-05,1.1356,79.5171,1250583960,1682959064,818445,1101413,1.01058,1.01058,121,121,69.1701,929428,ns3::ThompsonSamplingWifiManager,D
407456,2,1,23,2,42.4793,0.000197963,1.3905,61.564,968049120,1682959064,633540,1101413,1.03335,1.03335,121,121,125.417,880939,ns3::ThompsonSamplingWifiManager,D
407456,1,1,25,2,25.8303,8.85092e-05,1.14954,79.3687,1248246120,1682959064,816915,1101413,1.01106,1.01106,121,121,72.3044,939075,ns3::ThompsonSamplingWifiManager,D
407456,2,1,25,2,43.3013,0.000235389,1.39506,60.6846,954216136,1682959064,624487,1101413,1.03393,1.03393,121,121,146.997,871197,ns3::ThompsonSamplingWifiManager,D
407456,1,1,27,1,76.6242,0.000722752,2.35821,25.2907,393404992,1682959064,257464,1101413,2.31758,2.31758,120.995,120.995,186.082,607154,ns3::ThompsonSamplingWifiManager,B
407456,2,1,27,1,75.8681,0.000715784,2.34126,25.8262,406130176,1682959064,265792,1101413,1.01378,1.01378,120.99,120.99,190.249,622287,ns3::ThompsonSamplingWifiManager,B
407456,1,1,27,2,36.3707,0.000220874,1.26354,68.1006,1070854488,1682959064,700821,1101413,1.01106,1.01106,120.98,120.98,154.793,885518,ns3::ThompsonSamplingWifiManager,D
407456,2,1,27,2,59.8709,0.000356953,1.72429,42.9489,675356136,1682959064,441987,1101413,1.02984,1.02984,120.999,120.999,157.768,762115,ns3::ThompsonSamplingWifiManager,D
407456,1,1,29,1,76.0146,0.000763559,2.33993,25.669,403663984,1682959064,264178,1101413,1.02205,1.02205,121,121,201.715,618159,ns3::ThompsonSamplingWifiManager,B
407456,2,1,29,1,79.4291,0.000888068,2.53233,22.0648,346200488,1682959064,226571,1101413,1.28418,1.28418,120.99,120.99,201.21,573752,ns3::ThompsonSamplingWifiManager,B
407456,1,1,29,2,43.1813,0.000261299,1.40051,60.8054,956234624,1682959064,625808,1101413,1.01106,1.01106,120.992,120.992,163.522,876449,ns3::ThompsonSamplingWifiManager,D
407456,2,1,29,2,62.0559,0.00044919,1.79437,40.6111,638583288,1682959064,417921,1101413,1.02389,1.02389,120.991,120.991,187.725,749905,ns3::ThompsonSamplingWifiManager,D
407456,1,1,31,1,78.382,0.000821409,2.44032,23.1389,363822912,1682959064,238104,1101413,1.0393,1.0393,121,121,195.58,581051,ns3::ThompsonSamplingWifiManager,B
407456,2,1,31,1,79.7644,0.000872124,2.54147,21.9056,340557584,1682959064,222878,1101413,2.36335,2.36335,120.975,120.975,194.376,566437,ns3::ThompsonSamplingWifiManager,B
407456,1,1,31,2,36.2858,0.000224833,1.31479,68.1816,1072283168,1682959064,701756,1101413,1.01106,1.01106,120.998,120.998,157.778,922665,ns3::ThompsonSamplingWifiManager,D
407456,2,1,31,2,56.3689,0.00035591,1.60561,46.7044,734294152,1682959064,480559,1101413,1.04614,1.04614,120.997,120.997,171.035,771590,ns3::ThompsonSamplingWifiManager,D
407456,1,1,31,3,54.4369,0.000306095,1.53035,48.771,766808464,1682959064,501838,1101413,1.04569,1.04569,121,121,153.61,767986,ns3::ThompsonSamplingWifiManager,E
407456,2,1,31,3,54.4679,0.000314336,1.53396,48.7442,766285888,1682959064,501496,1101413,1.06172,1.06172,121,121,157.638,769275,ns3::ThompsonSamplingWifiManager,E
407457,1,1,1,1,46.4484,0.000196412,1.42275,57.3079,901251072,1682959064,589824,1101413,1.01625,1.01625,121,121,115.848,839172,ns3::ThompsonSamplingWifiManager,B
407457,2,1,1,1,46.783,0.00019867,1.42906,56.9437,895620392,1682959064,586139,1101413,1.00361,1.00361,121,121,116.448,837629,ns3::ThompsonSamplingWifiManager,B
407457,1,1,1,2,2.5529,1.65905e-05,0.0869459,104.274,1639994760,1682959064,1073295,1101413,1.00645,1.00645,121,121,17.8065,93318.6,ns3::ThompsonSamplingWifiManager,C
407457,2,1,1,2,7.07636,2.71714e-05,0.285573,99.4321,1563866744,1682959064,1023473,1101413,1.0049,1.0049,121,121,27.8091,292276,ns3::ThompsonSamplingWifiManager,C
407457,1,1,1,2,6.38189,2.58537e-05,0.235649,100.175,1575554416,1682959064,1031122,1101413,1.00483,1.00483,121,121,26.6583,242983,ns3::ThompsonSamplingWifiManager,D
407457,2,1,1,2,2.14652,1.56614e-05,0.0849376,104.708,1646834088,1682959064,1077771,1101413,1.00558,1.00558,121,121,16.8794,91543.3,ns3::ThompsonSamplingWifiManager,D
407457,1,1,1,3,2.75755,1.70377e-05,0.0848169,104.06,1636550648,1682959064,1071041,1101413,1.01285,1.01285,121,121,18.2481,90842.4,ns3::ThompsonSamplingWifiManager,E
407457,2,1,1,3,1.15052,1.34349e-05,0.0670377,105.776,1663596248,1682959064,1088741,1101413,1.00833,1.00833,121,121,14.6271,72986.7,ns3::ThompsonSamplingWifiManager,E
407457,1,1,3,1,47.1118,0.000217734,1.42376,56.5981,890087504,1682959064,582518,1101413,1.01625,1.01625,121,121,126.834,829366,ns3::ThompsonSamplingWifiManager,B
407457,2,1,3,1,47.4495,0.000219786,1.44014,56.2306,884403344,1682959064,578798,1101413,1.00361,1.00361,121,121,127.212,833549,ns3::ThompsonSamplingWifiManager,B
407457,1,1,3,2,2.7353,1.89121e-05,0.0909499,104.078,1636925008,1682959064,1071286,1101413,1.00645,1.00645,121,121,20.2603,97433.4,ns3::ThompsonSamplingWifiManager,C
407457,2,1,3,2,7.48965,3.02862e-05,0.322348,98.9898,1556911288,1682959064,1018921,1101413,1.0049,1.0049,121,121,30.8592,328447,ns3::ThompsonSamplingWifiManager,C
407457,1,1,3,2,6.39451,2.61843e-05,0.238826,100.162,1575342024,1682959064,1030983,1101413,1.00483,1.00483,121,121,26.9955,246226,ns3::ThompsonSamplingWifiManager,D
407457,2,1,3,2,2.07561,1.86842e-05,0.0781272,104.784,1648027456,1682959064,1078552,1101413,1.00558,1.00558,121,121,20.1518,84264.3,ns3::ThompsonSamplingWifiManager,D
407457,1,1,3,3,2.76781,1.72344e-05,0.0843498,104.049,1636377984,1682959064,1070928,1101413,1.01285,1.01285,121,121,18.4567,90332.6,ns3::ThompsonSamplingWifiManager,E
407457,2,1,3,3,1.16278,1.36117e-05,0.0671186,105.763,1663389968,1682959064,1088606,1101413,1.00833,1.00833,121,121,14.8177,73065.7,ns3::ThompsonSamplingWifiManager,E
407457,1,1,5,1,54.6307,0.000265623,1.5445,48.5516,763546184,1682959064,499703,1101413,1.01625,1.01625,121,121,132.732,771793,ns3::ThompsonSamplingWifiManager,B
407457,2,1,5,1,56.5196,0.000287395,1.58608,46.53,731757672,1682959064,478899,1101413,1.00361,1.00361,120.988,120.988,137.633,759574,ns3::ThompsonSamplingWifiManager,B
407457,1,1,5,2,3.93349,1.97896e-05,0.116391,102.796,1616759992,1682959064,1058089,1101413,1.00645,1.00645,121,121,20.9391,123152,ns3::ThompsonSamplingWifiManager,C
407457,2,1,5,2,9.40537,3.32839e-05,0.438703,96.9399,1524670488,1682959064,997821,1101413,1.0049,1.0049,121,121,33.2113,437747,ns3::ThompsonSamplingWifiManager,C
407457,1,1,5,2,6.56457,2.61533e-05,0.257121,99.9797,1572480080,1682959064,1029110,1101413,1.00483,1.00483,121,121,26.9146,264606,ns3::ThompsonSamplingWifiManager,D
407457,2,1,5,2,4.12053,6.0902e-05,0.126583,102.595,1613612312,1682959064,1056029,1101413,1.00558,1.00558,121,121,64.3142,133675,ns3::ThompsonSamplingWifiManager,D
407457,1,1,5,3,2.85724,1.72491e-05,0.0867925,103.954,1634872904,1682959064,1069943,1101413,1.01285,1.01285,121,121,18.4555,92863,ns3::ThompsonSamplingWifiManager,E
407457,2,1,5,3,1.24349,1.36386e-05,0.0681439,105.677,1662031576,1682959064,1087717,1101413,1.00833,1.00833,121,121,14.8349,74121.3,ns3::ThompsonSamplingWifiManager,E
407457,1,1,7,1,54.9703,0.000273725,1.54335,48.1882,757831464,1682959064,495963,1101413,1.01625,1.01625,121,121,135.757,765445,ns3::ThompsonSamplingWifiManager,B
407457,2,1,7,1,54.1661,0.000260295,1.53398,49.0438,771366488,1682959064,504821,1101413,1.00361,1.00361,120.999,120.999,131.402,774383,ns3::ThompsonSamplingWifiManager,B
407457,1,1,7,2,4.05425,1.98556e-05,0.120375,102.667,1614727752,1682959064,1056759,1101413,1.00645,1.00645,121,121,20.9826,127208,ns3::ThompsonSamplingWifiManager,C
407457,2,1,7,2,9.57661,3.36176e-05,0.483398,96.7567,1521788680,1682959064,995935,1101413,1.0049,1.0049,121,121,33.4809,481432,ns3::ThompsonSamplingWifiManager,C
407457,1,1,7,2,6.57882,2.6472e-05,0.259762,99.9644,1572240184,1682959064,1028953,1101413,1.00483,1.00483,121,121,27.2384,267283,ns3::ThompsonSamplingWifiManager,D
407457,2,1,7,2,3.93549,6.06666e-05,0.129628,102.794,1616726376,1682959064,1058067,1101413,1.00558,1.00558,120.999,120.999,64.1892,137155,ns3::ThompsonSamplingWifiManager,D
407457,1,1,7,3,2.90309,1.83369e-05,0.0881223,103.905,1634101264,1682959064,1069438,1101413,1.01285,1.01285,121,121,19.6101,94241.3,ns3::ThompsonSamplingWifiManager,E
407457,2,1,7,3,1.31277,1.37629e-05,0.0687993,105.602,1660865712,1682959064,1086954,1101413,1.00833,1.00833,121,121,14.9596,74781.7,ns3::ThompsonSamplingWifiManager,E
407457,1,1,9,1,57.1263,0.000325267,1.61298,45.8887,721546048,1682959064,472216,1101413,1.02166,1.02166,120.985,120.985,153.596,761675,ns3::ThompsonSamplingWifiManager,B
407457,2,1,9,1,57.9124,0.000343781,1.64209,45.0369,708316624,1682959064,463558,1101413,1.00428,1.00428,120.995,120.995,159.362,761203,ns3::ThompsonSamplingWifiManager,B
407457,1,1,9,2,4.42795,2.66479e-05,0.138753,102.27,1608438504,1682959064,1052643,1101413,1.00645,1.00645,120.997,120.997,28.0507,146058,ns3::ThompsonSamplingWifiManager,C
