rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec,channelSwitchDelay
1,3,1,1,3,12.4073,3.24168e-05,0.645312,95.4882,1501672560,1714380856,982770,1121977,1.01617,1.01617,120.998,120.998,31.8582,634193,ns3::ThompsonSamplingWifiManager,3,0,32,128,65
1,4,1,1,3,5.49985,1.96063e-05,0.190577,103.012,1620092560,1714380856,1060270,1121977,1.01035,1.01035,121,121,20.7879,202063,ns3::ThompsonSamplingWifiManager,3,0,32,128,65
1,1,1,1,3,41.0346,0.000153123,1.3368,64.2952,1010891184,1714380856,661578,1121977,1.03949,1.03949,120.994,120.994,101.303,884397,ns3::ThompsonSamplingWifiManager,3,0,32,128,70
1,2,1,1,3,51.3224,0.000186318,1.36791,53.062,834518728,1714380856,546151,1121977,1.01061,1.01061,121,121,101.757,747087,ns3::ThompsonSamplingWifiManager,3,0,32,128,70
1,3,1,1,3,12.8179,3.33536e-05,0.627754,95.0391,1494633064,1714380856,978163,1121977,1.01617,1.01617,121,121,32.6252,614046,ns3::ThompsonSamplingWifiManager,3,0,32,128,70
1,4,1,1,3,5.55101,1.96306e-05,0.187887,102.956,1619215488,1714380856,1059696,1121977,1.01035,1.01035,121,121,20.8024,199103,ns3::ThompsonSamplingWifiManager,3,0,32,128,70
1,1,1,1,3,50.2617,0.000218891,1.43293,54.224,852703456,1714380856,558052,1121977,1.02249,1.02249,120.999,120.999,122.153,799647,ns3::ThompsonSamplingWifiManager,3,0,32,128,75
1,2,1,1,3,49.963,0.000216409,1.44236,54.5477,857825312,1714380856,561404,1121977,1.019,1.019,121,121,121.493,809746,ns3::ThompsonSamplingWifiManager,3,0,32,128,75
1,3,1,1,3,4.73236,1.78249e-05,0.151769,103.849,1633250168,1714380856,1068881,1121977,1.01106,1.01106,121,121,19.0526,162223,ns3::ThompsonSamplingWifiManager,3,0,32,128,75
1,4,1,1,3,5.1256,1.85076e-05,0.17113,103.423,1626508632,1714380856,1064469,1121977,1.01486,1.01486,121,121,19.7007,182163,ns3::ThompsonSamplingWifiManager,3,0,32,128,75
