rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,dataRate
407456,1,1,0,2,0.00777179,4.83784e-05,0.00217452,89.9993,1415470440,1415580456,926355,926427,1.008,1.008,121,121,44.8155,2014.37,ns3::ThompsonSamplingWifiManager,B,90
407456,2,1,0,2,0.00734003,4.62443e-05,0.00221206,90,1415476552,1415580456,926359,926427,1.00827,1.00827,121,121,42.8387,2049.16,ns3::ThompsonSamplingWifiManager,B,90
407456,1,1,0,1,44.349,0.000207096,1.49028,55.6682,875316328,1572866664,572851,1029363,1.0369,1.0369,121,121,118.635,853706,ns3::ThompsonSamplingWifiManager,A,100
407456,2,1,0,1,45.3394,0.000215194,1.50096,54.6673,859738368,1572866664,562656,1029363,1.0058,1.0058,120.991,120.991,121.08,844527,ns3::ThompsonSamplingWifiManager,A,100
407456,1,1,0,3,0.00680032,4.8036e-05,0.00196978,89.9994,1415484192,1415580456,926364,926427,1.00712,1.00712,121,121,44.4988,1824.73,ns3::ThompsonSamplingWifiManager,D,90
407456,2,1,0,3,0.0121974,4.56568e-05,0.00206852,90,1415407792,1415580456,926314,926427,1.01431,1.01431,121,121,42.2925,1916.1,ns3::ThompsonSamplingWifiManager,D,90
407456,1,1,0,2,0.00932616,2.55578e-05,0.00387675,99.9976,1572719976,1572866664,1029267,1029363,1.008,1.008,121,121,26.3058,3990.22,ns3::ThompsonSamplingWifiManager,B,100
407456,2,1,0,2,0.011852,2.51912e-05,0.0066455,99.9952,1572680248,1572866664,1029241,1029363,1.00827,1.00827,121,121,25.9278,6839.82,ns3::ThompsonSamplingWifiManager,B,100
407456,1,1,0,1,49.3321,0.000207503,1.41515,55.7553,876633464,1730154400,573713,1132300,1.03974,1.03974,120.996,120.996,119.047,811887,ns3::ThompsonSamplingWifiManager,A,110
407456,2,1,0,1,50.2486,0.000215065,1.41634,54.7293,860775880,1730154400,563335,1132300,1.0058,1.0058,121,121,121.153,797873,ns3::ThompsonSamplingWifiManager,A,110
407456,1,1,0,3,0.00786894,2.53566e-05,0.00352383,99.9982,1572742896,1572866664,1029282,1029363,1.00696,1.00696,121,121,26.0991,3627.01,ns3::ThompsonSamplingWifiManager,D,100
407456,2,1,0,3,0.0137949,2.51698e-05,0.00520055,99.9983,1572649688,1572866664,1029221,1029363,1.01432,1.01432,121,121,25.9053,5352.52,ns3::ThompsonSamplingWifiManager,D,100
407456,1,1,0,1,53.6603,0.000222156,1.44209,55.6298,874628728,1887429912,572401,1235229,1.04417,1.04417,120.996,120.996,127.162,825452,ns3::ThompsonSamplingWifiManager,A,120
407456,2,1,0,1,54.4593,0.000229531,1.46702,54.6513,859548896,1887429912,562532,1235229,1.0058,1.0058,121,121,129.118,825244,ns3::ThompsonSamplingWifiManager,A,120
407456,1,1,0,2,7.43345,2.21439e-05,0.324734,101.83,1601544168,1730154400,1048131,1132300,1.008,1.008,121,121,23.2097,340364,ns3::ThompsonSamplingWifiManager,B,110
407456,2,1,0,2,8.27722,2.39584e-05,0.379728,100.902,1586945656,1730154400,1038577,1132300,1.00827,1.00827,121,121,24.8827,394376,ns3::ThompsonSamplingWifiManager,B,110
407456,1,1,0,3,7.18573,2.15388e-05,0.296172,102.102,1605830208,1730154400,1050936,1132300,1.00699,1.00699,121,121,22.6359,311257,ns3::ThompsonSamplingWifiManager,D,110
407456,2,1,0,3,8.47832,2.45635e-05,0.399988,100.686,1583466400,1730154400,1036300,1132300,1.0143,1.0143,121,121,25.4551,414507,ns3::ThompsonSamplingWifiManager,D,110
407456,1,1,0,1,57.2188,0.000236071,1.45518,55.6389,874754024,2044717648,572483,1338166,1.04635,1.04635,120.996,120.996,135.146,833064,ns3::ThompsonSamplingWifiManager,A,130
407456,2,1,0,1,57.9354,0.0002429,1.47362,54.6865,860102032,2044717648,562894,1338166,1.0058,1.0058,121,121,136.727,829493,ns3::ThompsonSamplingWifiManager,A,130
407456,1,1,0,2,15.1725,3.32812e-05,0.859254,101.8,1601059792,1887429912,1047814,1235229,1.008,1.008,121,121,34.8725,900338,ns3::ThompsonSamplingWifiManager,B,120
407456,2,1,0,2,15.7824,3.49498e-05,0.865211,101.068,1589547840,1887429912,1040280,1235229,1.00827,1.00827,121,121,36.3576,900062,ns3::ThompsonSamplingWifiManager,B,120
407456,1,1,0,3,14.9329,3.25741e-05,0.853656,102.086,1605581144,1887429912,1050773,1235229,1.00712,1.00712,121,121,34.2279,896999,ns3::ThompsonSamplingWifiManager,D,120
407456,2,1,0,3,16.1474,3.59482e-05,0.868178,100.635,1582659616,1887429912,1035772,1235229,1.0143,1.0143,121,121,37.2341,899235,ns3::ThompsonSamplingWifiManager,D,120
407456,1,1,0,1,60.1867,0.000247169,1.45574,55.764,876696112,2202020664,573754,1441113,1.04974,1.04974,120.995,120.995,141.814,835236,ns3::ThompsonSamplingWifiManager,A,140
407456,2,1,0,1,60.8712,0.000254385,1.47427,54.7833,861623920,2202020664,563890,1441113,1.0058,1.0058,121,121,143.445,831324,ns3::ThompsonSamplingWifiManager,A,140
407456,1,1,0,2,21.6741,4.75968e-05,0.940758,101.83,1601544168,2044717648,1048131,1338166,1.008,1.008,121,121,49.8876,986038,ns3::ThompsonSamplingWifiManager,B,130
407456,2,1,0,2,22.3726,4.97983e-05,0.950869,100.922,1587260424,2044717648,1038783,1338166,1.00827,1.00827,121,121,51.7295,987747,ns3::ThompsonSamplingWifiManager,B,130
407456,1,1,0,3,21.4769,4.70809e-05,0.937003,102.086,1605576560,2044717648,1050770,1338166,1.00695,1.00695,121,121,49.4711,984575,ns3::ThompsonSamplingWifiManager,D,130
407456,2,1,0,3,22.5051,5.02052e-05,0.947481,100.755,1584552808,2044717648,1037011,1338166,1.0143,1.0143,121,121,52.0633,982549,ns3::ThompsonSamplingWifiManager,D,130
407456,1,1,0,1,62.8037,0.000257241,1.45663,55.8208,877573184,2359299232,574328,1544044,1.05079,1.05079,120.994,120.994,147.741,836586,ns3::ThompsonSamplingWifiManager,A,150
407456,2,1,0,1,63.4626,0.000264976,1.47541,54.8089,862027312,2359299232,564154,1544044,1.0058,1.0058,121,121,149.487,832360,ns3::ThompsonSamplingWifiManager,A,150
407456,1,1,0,2,27.2705,5.95708e-05,0.941869,101.829,1601518192,2202020664,1048114,1441113,1.008,1.008,121,121,62.4369,987187,ns3::ThompsonSamplingWifiManager,B,140
407456,2,1,0,2,27.8386,6.16108e-05,0.94925,101.033,1589008456,2202020664,1039927,1441113,1.00827,1.00827,121,121,64.0706,987151,ns3::ThompsonSamplingWifiManager,B,140
407456,1,1,0,3,27.0834,5.89843e-05,0.940324,102.09,1605637680,2202020664,1050810,1441113,1.00697,1.00697,121,121,61.9813,988102,ns3::ThompsonSamplingWifiManager,D,140
407456,2,1,0,3,28.1085,6.24492e-05,0.94901,100.661,1583066064,2202020664,1036038,1441113,1.0143,1.0143,121,121,64.6997,983211,ns3::ThompsonSamplingWifiManager,D,140
407456,1,1,0,2,32.1367,7.02688e-05,0.918493,101.802,1601097992,2359299232,1047839,1544044,1.008,1.008,121,121,73.6304,962433,ns3::ThompsonSamplingWifiManager,B,150
407456,2,1,0,2,32.7461,7.25273e-05,0.919872,100.888,1586721040,2359299232,1038430,1544044,1.00827,1.00827,121,121,75.3145,955222,ns3::ThompsonSamplingWifiManager,B,150
407456,1,1,0,3,31.9356,6.95393e-05,0.916729,102.103,1605843960,2359299232,1050945,1544044,1.00699,1.00699,121,121,73.0819,963431,ns3::ThompsonSamplingWifiManager,D,150
407456,2,1,0,3,32.9471,7.32048e-05,0.919961,100.592,1581978128,2359299232,1035326,1544044,1.0143,1.0143,121,121,75.7908,952459,ns3::ThompsonSamplingWifiManager,D,150
407456,1,1,0,2,0.00388587,3.93927e-05,0.000228239,10.0004,157281624,157287736,102933,102937,1.00811,1.00811,121,121,4.05477,23.4933,ns3::ThompsonSamplingWifiManager,C,10
407456,2,1,0,2,0.00388587,5.31793e-05,0.000208887,10.0004,157281624,157287736,102933,102937,1.00829,1.00829,121,121,5.47386,21.5014,ns3::ThompsonSamplingWifiManager,C,10
407456,1,1,0,2,0.00582884,6.38232e-05,0.000237511,20.0003,314555608,314573944,205861,205873,1.00811,1.00811,121,121,13.1386,48.8942,ns3::ThompsonSamplingWifiManager,C,20
407456,2,1,0,2,0.00582884,3.30519e-05,0.000222736,20.0004,314555608,314573944,205861,205873,1.00829,1.00829,120.999,120.999,6.80406,45.8527,ns3::ThompsonSamplingWifiManager,C,20
407456,1,1,0,2,0.00631459,0.00012902,0.000491081,40.0003,629106632,629146360,411719,411745,1.00811,1.00811,121,121,53.1197,202.187,ns3::ThompsonSamplingWifiManager,C,40
407456,2,1,0,2,0.00655746,0.00019477,0.000722321,40.0004,629105104,629146360,411718,411745,1.00829,1.00829,120.999,120.999,80.1903,297.393,ns3::ThompsonSamplingWifiManager,C,40
407456,1,1,0,2,0.00582885,7.72329e-05,0.000393112,30.0004,471832648,471860152,308791,308809,1.00807,1.00807,121,121,23.8487,121.389,ns3::ThompsonSamplingWifiManager,C,30
407456,2,1,0,2,0.00582885,0.000162648,0.000440286,30.0005,471832648,471860152,308791,308809,1.00865,1.00865,121,121,50.224,135.956,ns3::ThompsonSamplingWifiManager,C,30
